date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:27:54	467394/467394	---MCZ	200	added ('OK')	text/html	etag:W/%2200da09f49df3a3587962a1a3b4b80cca%22	https://laurasmartyes.wixsite.com/nana	C:/My%20Web%20Sites/nyoba%20ngetes%20lala/laurasmartyes.wixsite.com/nana.html	(from )
21:27:54	404/404	---M--	200	added ('OK')	text/plain	date:Sun,%2017%20Sep%202023%2013:27:53%20GMT	https://laurasmartyes.wixsite.com/robots.txt		(from )
21:27:55	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/nyoba%20ngetes%20lala/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://laurasmartyes.wixsite.com/nana)
21:27:55	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/nyoba%20ngetes%20lala/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://laurasmartyes.wixsite.com/nana)
21:27:56	65588/65588	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2024%20Jul%202023%2022:12:52%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/My%20Web%20Sites/nyoba%20ngetes%20lala/polyfill.io/v3/polyfill.mind82c.js	(from https://laurasmartyes.wixsite.com/nana)
21:27:57	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2017%20Sep%202023%2013:27:56%20GMT	https://laurasmartyes.wixsite.com/	C:/My%20Web%20Sites/nyoba%20ngetes%20lala/laurasmartyes.wixsite.com/index.html	(from https://laurasmartyes.wixsite.com/nana)
21:27:57	368919/368919	---MCZ	200	added ('OK')	text/html	date:Sun,%2017%20Sep%202023%2013:27:56%20GMT	https://laurasmartyes.wixsite.com/nana/technology	C:/My%20Web%20Sites/nyoba%20ngetes%20lala/laurasmartyes.wixsite.com/nana/technology.html	(from https://laurasmartyes.wixsite.com/nana)
21:27:58	415511/415511	---MCZ	200	added ('OK')	text/html	date:Sun,%2017%20Sep%202023%2013:27:57%20GMT	https://laurasmartyes.wixsite.com/nana/about	C:/My%20Web%20Sites/nyoba%20ngetes%20lala/laurasmartyes.wixsite.com/nana/about.html	(from https://laurasmartyes.wixsite.com/nana)
21:27:59	395731/395731	---MCZ	200	added ('OK')	text/html	date:Sun,%2017%20Sep%202023%2013:27:58%20GMT	https://laurasmartyes.wixsite.com/nana/careers	C:/My%20Web%20Sites/nyoba%20ngetes%20lala/laurasmartyes.wixsite.com/nana/careers.html	(from https://laurasmartyes.wixsite.com/nana)
21:27:59	2098/2098	---M--	200	added ('OK')	image/jpeg	date:Sun,%2017%20Sep%202023%2013:27:59%20GMT	https://static.wixstatic.com/media/c837a6_02de7d4c43d44b7b890854049ed75da8f000.jpg/v1/fill/w_147,h_83,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/c837a6_02de7d4c43d44b7b890854049ed75da8f000.jpg	C:/My%20Web%20Sites/nyoba%20ngetes%20lala/static.wixstatic.com/media/c837a6_02de7d4c43d44b7b890854049ed75da8f000.jpg/v1/fill/w_147,h_83,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/c837a6_02de7d4c43d44b7b890854049ed75da8f000.jpg	(from https://laurasmartyes.wixsite.com/nana)
21:28:00	144/144	---M--	200	added ('OK')	image/png	date:Sun,%2017%20Sep%202023%2013:27:59%20GMT	https://static.wixstatic.com/media/84770f_3ebbf7ac3e26427b83ca50c82aabaaf8~mv2.png/v1/fill/w_49,h_14,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/84770f_3ebbf7ac3e26427b83ca50c82aabaaf8~mv2.png	C:/My%20Web%20Sites/nyoba%20ngetes%20lala/static.wixstatic.com/media/84770f_3ebbf7ac3e26427b83ca50c82aabaaf8_mv2.png/v1/fill/w_49,h_14,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/84770f_3ebbf7ac3e26427b83ca50c82aabaaf8_mv2.png	(from https://laurasmartyes.wixsite.com/nana)
